Okresní státní zastupitelství v Jablonci nad Nisou;48402
Okresní státní zastupitelství v Liberci;48403
Okresní státní zastupitelství v Lounech;48405
Okresní státní zastupitelství v Ústí nad Labem;48399
Okresní státní zastupitelství v Litoměřicích;48404
Okresní státní zastupitelství v Mostě;48406
Okresní státní zastupitelství v Teplicích;48407
Okresní státní zastupitelství v Chomutově;48401
Generální ředitelství Vězeňské služby ČR;42390
Institut pro kriminologii a sociální prevenci;51019
Justiční akademie - pracoviště Kroměříž;42106
Justiční areál na Míčánkách;49112
Justiční areál na Míčánkách - školící místnost;54279
